time,player,team,event,pts_maryland,pts_bowie_state
19:45,"Jackson, Miles",Bowie State,turnover,0,0
19:43,"Sulaimon, Rasheed",Maryland,steal,0,0
19:41,"Sulaimon, Rasheed",Maryland,missed_layup,0,0
19:41,"Layman, Jake",Maryland,rebound_offense,0,0
19:40,"Beck, Justin",Bowie State,foul,0,0
19:20,"Layman, Jake",Maryland,missed_3_pointer,0,0
19:20,"Carter, Robert",Maryland,rebound_offense,0,0
19:16,"Sulaimon, Rasheed",Maryland,missed_3_pointer,0,0
19:16,"Jackson, Miles",Bowie State,rebound_defense,0,0
19:02,team,Maryland,rebound_defense,0,0
19:02,"Jackson, Andre",Bowie State,missed_3_pointer,0,0
18:43,"Carter, Robert",Maryland,turnover,0,0
18:29,"Trimble, Melo",Maryland,rebound_defense,0,0
18:29,"Beck, Justin",Bowie State,missed_jumper,0,0
18:22,"Trimble, Melo",Maryland,turnover,0,0
18:16,"Trimble, Melo",Maryland,rebound_defense,0,0
18:06,"Ebinum, Enuoma",Bowie State,foul,0,0
17:56,"Stone, Diamond",Maryland,layup,2,0
17:33,"Carter, Robert",Maryland,rebound_defense,0,0
17:25,"Stone, Diamond",Maryland,layup,2,0
17:25,"Layman, Jake",Maryland,assist,0,0
17:10,"Beck, Justin",Bowie State,missed_layup,0,0
17:10,"Jackson, Miles",Bowie State,rebound_offense,0,0
17:06,"Jackson, Miles",Bowie State,tip_in,0,2
16:49,"Wells, Dayshawn",Bowie State,foul,0,0
16:39,"Layman, Jake",Maryland,layup,2,0
16:39,"Carter, Robert",Maryland,assist,0,0
16:24,"Jackson, Andre",Bowie State,missed_jumper,0,0
16:24,"Beck, Justin",Bowie State,rebound_offense,0,0
16:15,"Trimble, Melo",Maryland,foul,0,0
16:15,"Ebinum, Enuoma",Bowie State,missed_free_throw_shot,0,0
16:15,deadball,Bowie State,rebound_offense,0,0
16:15,"Ebinum, Enuoma",Bowie State,free_throw_shot,0,1
16:15,"Nickens, Jared",Maryland,sub_in,0,0
16:15,"Trimble, Melo",Maryland,sub_out,0,0
16:15,"Livingston, Julian",Bowie State,sub_in,0,0
16:15,"Briscoe, Michael",Bowie State,sub_in,0,0
16:15,"Jackson, Miles",Bowie State,sub_out,0,0
15:50,"Ebinum, Enuoma",Bowie State,foul,0,0
